#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
607208674|2015-04-25T06:11:26.634|28.1302|84.7168|13.4|ISC|ISC|ISC|609619851|MW|7.88|GCMT|Nepal|earthquake
607260012|2015-04-25T06:15:23.161|27.6342|85.4762|10.0|ISC|ISC|ISC|609619853|mb|6.11|ISC|Nepal|earthquake
607260013|2015-04-25T06:17:59.506|27.7097|85.9014|10.0|ISC|ISC|ISC|609619854|mb|5.33|ISC|Nepal|earthquake
607260016|2015-04-25T06:18:12.613|27.6955|85.9601|19.0|ISC|ISC|ISC|609619855|mb|5.58|ISC|Nepal|earthquake
611682261|2015-04-25T06:20:20.010|28.0216|84.4141|0.0|IDC|IDC|IDC|605890568|mb1|5.00|IDC|Nepal|earthquake
607260020|2015-04-25T06:20:40.374|28.2020|84.6237|10.0|ISC|ISC|ISC|609619857|mb|5.34|ISC|Nepal|earthquake
607260021|2015-04-25T06:22:03.199|27.7884|85.1449|12.1|ISC|ISC|ISC|609619858|mb|5.11|ISC|Nepal|earthquake
607260024|2015-04-25T06:22:14.357|27.8607|85.0509|12.0|ISC|ISC|ISC|609619859|mb|4.93|ISC|Nepal|earthquake
607260025|2015-04-25T06:22:23.357|27.8287|85.4550|18.0|ISC|ISC|ISC|609619860|mb|5.02|ISC|Nepal|earthquake
607260029|2015-04-25T06:23:00.170|27.7624|85.3224|0.0|IDC|IDC|IDC|605890573|mb1|4.90|IDC|Nepal|earthquake
607260032|2015-04-25T06:23:29.848|27.8319|85.2922|18.0|ISC|ISC|ISC|609619861|mb|4.85|ISC|Nepal|earthquake
607260033|2015-04-25T06:25:34.631|27.3390|85.3406|10.0|ISC|ISC|ISC|609619862|mb|4.59|ISC|Nepal|earthquake
607260036|2015-04-25T06:25:55.962|27.6990|85.5783|15.6|ISC|ISC|ISC|609619863|mb|4.96|ISC|Nepal|earthquake
607260039|2015-04-25T06:26:15.357|27.1780|85.4364|10.0|ISC|ISC|ISC|609619864|mb|4.55|ISC|Nepal|earthquake
607260042|2015-04-25T06:26:59.680|26.6398|83.9727|10.0|ISC|ISC|ISC|609619865|mb|4.47|ISC|Northern India|earthquake
607260043|2015-04-25T06:28:05.901|27.8057|85.5764|10.7|ISC|ISC|ISC|609619866|mb|4.75|ISC|Nepal|earthquake
607260044|2015-04-25T06:29:48.263|27.9171|85.2730|23.0|ISC|ISC|ISC|609619867|mb|4.44|ISC|Nepal|earthquake
607260045|2015-04-25T06:30:50.947|27.7756|85.3550|18.0|ISC|ISC|ISC|609619868|mb|4.03|ISC|Nepal|earthquake
607260048|2015-04-25T06:31:30.620|28.5903|84.4886|0.0|IDC|IDC|IDC|605890582|mb1|4.00|IDC|Nepal|earthquake
607260051|2015-04-25T06:32:08.210|27.8151|84.3629|0.0|IDC|IDC|IDC|605890583|mb|4.40|IDC|Nepal-India border region|earthquake
607260057|2015-04-25T06:32:48.658|27.6869|85.7820|10.0|ISC|ISC|ISC|609619869|mb|4.68|ISC|Nepal|earthquake
607260058|2015-04-25T06:36:24.784|27.9056|85.5159|18.0|ISC|ISC|ISC|609619871|mb|4.05|ISC|Nepal|earthquake
607208678|2015-04-25T06:37:29.420|27.6609|85.3651|0.0|IDC|IDC|IDC|605890588|ML|4.20|IDC|Nepal|earthquake
607260059|2015-04-25T06:37:59.460|27.8009|85.8073|14.7|ISC|ISC|ISC|609619872|mb|5.08|ISC|Nepal|earthquake
607260063|2015-04-25T06:38:43.708|27.5177|85.7035|10.0|ISC|ISC|ISC|609619873|mb|4.94|ISC|Nepal|earthquake
607260064|2015-04-25T06:41:11.220|27.8347|85.2553|0.0|IDC|IDC|IDC|605890591|mb1|4.40|IDC|Nepal|earthquake
607208679|2015-04-25T06:44:39.703|27.5558|85.5097|15.1|ISC|ISC|ISC|609619875|mb|4.50|ISC|Nepal|earthquake
607260065|2015-04-25T06:45:21.360|28.1603|84.8433|14.7|ISC|ISC|ISC|609619876|MW|6.66|GCMT|Nepal|earthquake
607260067|2015-04-25T06:53:42.502|27.6854|85.2588|9.6|ISC|ISC|ISC|609619877|mb|4.94|ISC|Nepal|earthquake
607208680|2015-04-25T06:56:02.020|27.7334|84.8934|10.0|ISC|ISC|ISC|609619878|mb|4.32|ISC|Nepal-India border region|earthquake
607260068|2015-04-25T06:56:33.535|27.8635|85.7138|8.4|ISC|ISC|ISC|609619879|mb|5.51|ISC|Nepal|earthquake
607260072|2015-04-25T06:58:28.145|27.7032|85.9789|13.3|ISC|ISC|ISC|609619880|mb|5.11|ISC|Nepal|earthquake
607260073|2015-04-25T07:02:59.160|27.3596|85.3788|0.0|IDC|IDC|IDC|605890598|mb1|4.10|IDC|Nepal|earthquake
607260076|2015-04-25T07:03:10.203|27.3788|86.0342|19.0|ISC|ISC|ISC|609619881|mb|4.14|ISC|Nepal|earthquake
607260079|2015-04-25T07:03:19.148|27.5029|86.0363|19.0|ISC|ISC|ISC|609619882|mb|3.97|ISC|Nepal|earthquake
607260080|2015-04-25T07:03:51.084|28.0665|84.8912|15.4|ISC|ISC|ISC|609619883|mb|4.41|ISC|Nepal|earthquake
607260082|2015-04-25T07:05:01.725|28.0130|85.2843|18.0|ISC|ISC|ISC|609619884|mb|4.18|ISC|Nepal|earthquake
607260085|2015-04-25T07:05:27.989|27.9294|85.5406|10.0|ISC|ISC|ISC|609619885|mb|4.36|ISC|Nepal|earthquake
607208681|2015-04-25T07:08:02.295|27.8242|85.9220|26.5|ISC|ISC|ISC|609619887|mb|4.84|ISC|Nepal|earthquake
607208682|2015-04-25T07:13:45.386|27.7153|85.7082|10.0|ISC|ISC|ISC|609619888|mb|4.63|ISC|Nepal|earthquake
607260086|2015-04-25T07:16:55.660|27.8247|85.6400|12.0|ISC|ISC|ISC|609619890|mb|4.65|ISC|Nepal|earthquake
607260088|2015-04-25T07:20:25.453|27.7849|85.4781|13.2|ISC|ISC|ISC|609619891|mb|3.99|ISC|Nepal|earthquake
607260095|2015-04-25T07:22:55.234|27.8485|85.8517|10.0|ISC|ISC|ISC|609619894|mb|4.00|ISC|Nepal|earthquake
607260098|2015-04-25T07:23:38.116|27.8174|85.8950|7.5|ISC|ISC|ISC|609619895|mb|4.33|ISC|Nepal|earthquake
607260103|2015-04-25T07:30:30.807|27.6958|85.5593|10.0|ISC|ISC|ISC|609619897|mb|4.03|ISC|Nepal|earthquake
607260107|2015-04-25T07:33:48.396|27.7278|85.1586|14.2|ISC|ISC|ISC|609619898|mb|4.18|ISC|Nepal|earthquake
607260108|2015-04-25T07:34:55.808|27.8440|85.4943|18.0|ISC|ISC|ISC|609619899|mb|4.05|ISC|Nepal|earthquake
607260116|2015-04-25T07:39:33.969|27.6959|85.6961|11.5|ISC|ISC|ISC|609619903|mb|4.47|ISC|Nepal|earthquake
607260120|2015-04-25T07:40:02.087|27.8324|85.4748|18.0|ISC|ISC|ISC|609619904|mb|4.37|ISC|Nepal|earthquake
607208683|2015-04-25T07:47:01.562|27.8734|85.5984|10.1|ISC|ISC|ISC|609619907|mb|5.04|ISC|Nepal|earthquake
607260125|2015-04-25T07:55:44.620|27.8666|85.5084|13.5|ISC|ISC|ISC|609619908|mb|4.36|ISC|Nepal|earthquake
607260127|2015-04-25T07:59:13.529|27.8399|85.7074|3.5|ISC|ISC|ISC|609619910|mb|4.33|ISC|Nepal|earthquake
607208684|2015-04-25T08:05:37.071|27.7385|85.7774|6.8|ISC|ISC|ISC|609619911|mb|4.56|ISC|Nepal|earthquake
607211764|2015-04-25T08:16:59.495|27.7095|85.7517|10.8|ISC|ISC|ISC|609619915|mb|4.86|ISC|Nepal|earthquake
608453712|2015-04-25T08:18:50.700|28.0093|85.3642|10.0|DMN|DMN|DMN|606833416|Ml|4.80|DMN|Nepal|earthquake
607208686|2015-04-25T08:20:12.353|27.8101|85.8122|17.2|ISC|ISC|ISC|609619916|mb|4.68|ISC|Nepal|earthquake
607260129|2015-04-25T08:20:49.500|27.6989|85.1266|15.2|ISC|ISC|ISC|609619917|mb|4.87|ISC|Nepal|earthquake
607260131|2015-04-25T08:22:47.979|27.8509|85.5547|12.6|ISC|ISC|ISC|609619918|mb|4.55|ISC|Nepal|earthquake
607208687|2015-04-25T08:29:24.971|27.9130|84.6909|15.2|ISC|ISC|ISC|609619919|mb|4.94|ISC|Nepal-India border region|earthquake
607260132|2015-04-25T08:31:33.111|27.7534|85.9261|12.9|ISC|ISC|ISC|609619920|mb|4.38|ISC|Nepal|earthquake
607260133|2015-04-25T08:36:04.909|27.7536|85.1930|8.0|ISC|ISC|ISC|609619921|mb|4.21|ISC|Nepal|earthquake
607260137|2015-04-25T08:46:20.162|27.8265|84.7195|10.0|ISC|ISC|ISC|609619923|mb|3.96|ISC|Nepal-India border region|earthquake
607260138|2015-04-25T08:49:09.458|27.7510|85.0344|12.9|ISC|ISC|ISC|609619925|mb|4.28|ISC|Nepal|earthquake
607208688|2015-04-25T08:55:56.408|27.5796|85.5542|12.9|ISC|ISC|ISC|609619929|mb|5.23|ISC|Nepal|earthquake
607260142|2015-04-25T09:01:51.081|27.7530|85.0709|10.0|ISC|ISC|ISC|609619930|mb|4.28|ISC|Nepal|earthquake
607210509|2015-04-25T09:03:16.528|27.8964|85.3892|17.7|ISC|ISC|ISC|609619931|mb|4.69|ISC|Nepal|earthquake
607210510|2015-04-25T09:17:02.275|28.3483|87.2873|9.3|ISC|ISC|ISC|609619933|MS|5.75|ISC|Xizang|earthquake
608453710|2015-04-25T09:21:18.100|27.6813|85.9767|10.0|DMN|DMN|DMN|606833345|Ml|5.00|DMN|Nepal|earthquake
607260145|2015-04-25T09:22:38.496|27.7332|85.7627|19.0|ISC|ISC|ISC|609619934|mb|4.49|ISC|Nepal|earthquake
607260146|2015-04-25T09:28:01.518|28.0403|85.2665|17.9|ISC|ISC|ISC|609619935|mb|4.14|ISC|Nepal|earthquake
607210511|2015-04-25T09:30:29.131|27.9386|85.5216|10.2|ISC|ISC|ISC|609619936|mb|4.91|ISC|Nepal|earthquake
607260147|2015-04-25T09:33:21.393|27.9337|85.7094|6.9|ISC|ISC|ISC|609619937|mb|4.35|ISC|Nepal|earthquake
608453717|2015-04-25T09:34:10.400|28.1998|85.3214|10.0|DMN|DMN|DMN|606833434|Ml|4.60|DMN|Nepal|earthquake
607260149|2015-04-25T09:38:51.239|28.2361|84.5179|10.0|ISC|ISC|ISC|609619939|mb|3.97|ISC|Nepal|earthquake
607260150|2015-04-25T09:43:02.913|28.0598|85.0657|25.5|ISC|ISC|ISC|609619940|mb|4.19|ISC|Nepal|earthquake
607260152|2015-04-25T09:53:32.395|27.5706|85.7630|8.1|ISC|ISC|ISC|609619942|mb|4.09|ISC|Nepal|earthquake
607260159|2015-04-25T10:10:33.126|28.1959|84.7082|8.2|ISC|ISC|ISC|609619946|mb|4.13|ISC|Nepal|earthquake
607260164|2015-04-25T10:23:17.355|27.7790|85.7587|8.2|ISC|ISC|ISC|609619950|mb|4.38|ISC|Nepal|earthquake
607210514|2015-04-25T10:40:13.335|27.7457|85.8556|9.6|ISC|ISC|ISC|609619953|mb|4.10|ISC|Nepal|earthquake
607260167|2015-04-25T10:40:36.816|27.5921|85.8535|19.0|ISC|ISC|ISC|609619954|mb|4.69|ISC|Nepal|earthquake
607260173|2015-04-25T10:52:01.012|27.5729|85.6502|10.0|ISC|ISC|ISC|609619956|mb|3.96|ISC|Nepal|earthquake
607260174|2015-04-25T10:53:44.126|27.7900|85.8645|13.4|ISC|ISC|ISC|609619957|mb|4.49|ISC|Nepal|earthquake
607211782|2015-04-25T11:05:01.397|27.9134|85.5368|11.0|ISC|ISC|ISC|609619958|mb|4.14|ISC|Nepal|earthquake
607260181|2015-04-25T11:17:04.496|27.7230|85.8169|19.0|ISC|ISC|ISC|609619962|mb|4.20|ISC|Nepal|earthquake
607260182|2015-04-25T11:18:32.490|27.6295|85.9620|19.0|ISC|ISC|ISC|609619963|mb|4.12|ISC|Nepal|earthquake
607260184|2015-04-25T11:23:49.671|27.8560|85.5659|18.0|ISC|ISC|ISC|609619965|mb|4.51|ISC|Nepal|earthquake
