#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
625613033|2023-02-06T01:17:35.086|37.2186|37.0726|9.0|ISC|ISC|ISC|637583066|MW|7.78|GCMT|Turkey|earthquake
625638553|2023-02-06T01:26:50.386|37.2185|36.9658|7.1|ISC|ISC|ISC|637583067|mb|5.56|ISC|Turkey|earthquake
625729748|2023-02-06T01:27:09.201|35.9929|35.6476|15.0|ISC|ISC|ISC|637583068|mb|5.00|ISC|Jordan-Syria region|earthquake
625613034|2023-02-06T01:28:17.197|37.3010|36.9168|13.8|ISC|ISC|ISC|637583069|MW|6.78|GCMT|Turkey|earthquake
642709488|2023-02-06T01:33:30.000|38.1870|38.6870|7.2|AFAD|AFAD|AFAD|637574760|MW|4.70|AFAD|Turkey|earthquake
626661070|2023-02-06T01:34:13.400|38.8125|37.5283|5.8|ISK|ISK|ISK|620353252|ML|4.30|ISK|Turkey|earthquake
625613044|2023-02-06T01:36:27.567|37.0006|36.6568|9.1|ISC|ISC|ISC|637583073|Mws|5.51|GSI|Turkey|earthquake
626661073|2023-02-06T01:41:14.318|38.0439|38.4379|10.0|ISC|ISC|ISC|637583076|mb|4.52|ISC|Turkey|earthquake
625729752|2023-02-06T01:46:57.781|36.3081|36.2721|14.3|ISC|ISC|ISC|637583078|mb|3.99|ISC|Jordan-Syria region|earthquake
625613264|2023-02-06T01:47:42.134|38.5420|40.4485|2.6|ISC|ISC|ISC|637583080|mb|4.24|ISC|Turkey|earthquake
626260745|2023-02-06T01:48:13.144|38.0428|38.1639|11.6|ISC|ISC|ISC|637583081|mb|4.78|ISC|Turkey|earthquake
625638555|2023-02-06T01:50:09.370|38.1961|38.6705|9.7|ISC|ISC|ISC|637583082|mb|4.56|ISC|Turkey|earthquake
625674036|2023-02-06T01:51:19.715|36.7610|36.6107|9.6|ISC|ISC|ISC|637583083|MW|5.00|AFAD|Jordan-Syria region|earthquake
625729756|2023-02-06T01:51:43.968|37.5131|37.1729|9.9|ISC|ISC|ISC|637583084|MW|5.30|AFAD|Turkey|earthquake
625729758|2023-02-06T01:54:36.286|36.3292|36.2344|10.7|ISC|ISC|ISC|637583085|Mws|4.04|GSI|Jordan-Syria region|earthquake
625729761|2023-02-06T01:55:02.300|36.7379|36.7372|0.0|IDC|IDC|IDC|619625226|mbtmp|4.10|IDC|Jordan-Syria region|earthquake
625729764|2023-02-06T01:55:40.237|37.1834|36.5975|6.6|ISC|ISC|ISC|637583087|mb|4.45|ISC|Turkey|earthquake
