#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
616217956|2019-07-04T17:33:50.990|35.6695|-117.5276|12.2|ISC|ISC|ISC|615541380|MW|6.45|GCMT|Central California|earthquake
616042646|2019-07-04T17:35:01.660|35.6440|-117.5672|4.6|PAS|NEIC|NEIC|612673031|ML|4.50|PAS|Central California|earthquake
620829360|2019-07-04T17:35:52.170|35.6870|-117.5062|1.6|PAS|NEIC|NEIC|612673033|ML|4.60|PAS|Central California|earthquake
616599732|2019-07-04T17:37:01.140|35.7105|-117.4773|1.6|PAS|NEIC|NEIC|612673035|ML|4.30|NEIC|Central California|earthquake
616599733|2019-07-04T17:37:14.850|35.6655|-117.5160|1.6|PAS|NEIC|NEIC|612673037|ML|4.40|NEIC|Central California|earthquake
616599735|2019-07-04T17:37:25.670|35.6785|-117.4525|15.8|PAS|NEIC|NEIC|612673039|ML|4.30|NEIC|Central California|earthquake
616599737|2019-07-04T17:37:55.500|35.7457|-117.5517|8.3|PAS|NEIC|NEIC|612673041|ML|4.10|PAS|Central California|earthquake
616599739|2019-07-04T17:38:21.450|35.7140|-117.4760|1.7|PAS|NEIC|NEIC|612673043|ML|3.50|PAS|Central California|earthquake
616599741|2019-07-04T17:38:47.500|35.6215|-117.5782|9.7|PAS|NEIC|NEIC|612673045|ML|3.60|NEIC|Central California|earthquake
616599743|2019-07-04T17:39:35.380|35.6842|-117.4995|10.2|PAS|NEIC|NEIC|612673047|ML|3.90|NEIC|Central California|earthquake
616599745|2019-07-04T17:40:02.250|35.7253|-117.5708|6.6|PAS|NEIC|NEIC|612673049|ML|4.00|PAS|Central California|earthquake
616599747|2019-07-04T17:40:18.520|35.7070|-117.5102|8.7|PAS|NEIC|NEIC|612673051|ML|4.50|PAS|Central California|earthquake
620834149|2019-07-04T17:43:29.200|35.6783|-117.5488|5.2|NEIC|NEIC|NEIC|612673057|ML|3.30|NEIC|Central California|earthquake
616599750|2019-07-04T17:44:32.820|35.6875|-117.5072|1.5|PAS|NEIC|NEIC|612673058|ML|4.10|PAS|Central California|earthquake
616599754|2019-07-04T17:47:17.810|35.7455|-117.5465|7.1|PAS|NEIC|NEIC|612673064|ML|3.60|PAS|Central California|earthquake
616599758|2019-07-04T17:51:46.650|35.6740|-117.5235|5.3|PAS|NEIC|NEIC|612673068|ML|3.60|PAS|Central California|earthquake
616599762|2019-07-04T18:01:23.180|35.6877|-117.5085|1.3|PAS|NEIC|NEIC|612673074|ML|3.50|NEIC|Central California|earthquake
616599764|2019-07-04T18:07:09.270|35.5992|-117.6102|2.1|PAS|NEIC|NEIC|612673080|ML|3.40|NEIC|Central California|earthquake
620829359|2019-07-04T18:08:45.070|35.7108|-117.4768|1.2|PAS|NEIC|NEIC|612673084|ML|3.60|PAS|Central California|earthquake
616599767|2019-07-04T18:10:32.710|35.6598|-117.5348|10.2|PAS|NEIC|NEIC|612673088|ML|3.30|NEIC|Central California|earthquake
620829361|2019-07-04T18:13:51.400|35.7082|-117.4850|6.4|PAS|NEIC|NEIC|612673092|ML|3.50|PAS|Central California|earthquake
616313955|2019-07-04T18:27:26.710|35.6738|-117.5175|1.6|PAS|NEIC|NEIC|612673105|ML|3.90|NEIC|Central California|earthquake
616599773|2019-07-04T18:27:59.515|35.7518|-117.5330|6.4|ISC|ISC|ISC|615541408|mb|4.07|ISC|Central California|earthquake
616599775|2019-07-04T18:28:43.610|35.6662|-117.5723|4.0|PAS|NEIC|NEIC|612673109|ML|4.10|PAS|Central California|earthquake
616042642|2019-07-04T18:39:44.633|35.5840|-117.5768|1.2|ISC|ISC|ISC|615541410|Mww|4.70|NEIC|Central California|earthquake
616042643|2019-07-04T18:47:06.845|35.6675|-117.4964|12.9|ISC|ISC|ISC|615541411|Mwr|4.30|PAS|Central California|earthquake
616599779|2019-07-04T18:50:16.010|35.6765|-117.5000|0.9|PAS|NEIC|NEIC|612673119|ML|3.50|NEIC|Central California|earthquake
616042747|2019-07-04T18:56:07.146|35.7070|-117.5605|7.7|ISC|ISC|ISC|615541414|Mww|4.70|NEIC|Central California|earthquake
616599787|2019-07-04T19:21:32.370|35.6614|-117.4735|7.0|ISC|ISC|ISC|615541417|Mwr|4.50|PAS|Central California|earthquake
616042752|2019-07-04T19:56:00.575|35.6401|-117.5096|1.4|ISC|ISC|ISC|615541419|Mwr|4.20|PAS|Central California|earthquake
616599800|2019-07-04T21:02:55.860|35.6897|-117.4853|7.1|PAS|NEIC|NEIC|612673176|ML|3.10|NEIC|Central California|earthquake
616599810|2019-07-04T22:05:22.270|35.7120|-117.4770|2.1|PAS|NEIC|NEIC|612673193|ML|3.30|NEIC|Central California|earthquake
616599811|2019-07-04T22:12:09.011|35.7108|-117.5337|10.0|ISC|ISC|ISC|615541434|Mwr|4.50|PAS|Central California|earthquake
